City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mayumba,GA,-3.432,10.6554,79.83,88,100,3.56,overcast clouds
80,Bajil,YE,15.0584,43.2851,85.96,59,46,4.54,scattered clouds
81,Shaunavon,CA,49.6501,-108.4181,42.58,52,39,10.49,scattered clouds
82,Yerofey Pavlovich,RU,53.9667,121.9667,4.19,95,38,4.18,scattered clouds
83,Kimbe,PG,-5.5502,150.1429,75.52,93,100,2.13,light rain
84,Punta Arenas,CL,-53.15,-70.9167,53.71,50,0,29.93,clear sky
85,Kruisfontein,ZA,-34.0033,24.7314,68.88,96,0,6.64,clear sky
86,Rovinj,HR,45.08,13.64,53.42,50,0,5.28,clear sky
87,Kingston,JM,17.997,-76.7936,85.24,56,40,24.16,scattered clouds
88,Touros,BR,-5.1989,-35.4608,85.48,65,44,11.1,scattered clouds
89,Kailua,US,21.4022,-157.7394,74.14,89,100,1.99,overcast clouds
90,Inirida,CO,3.8653,-67.9239,83.95,70,80,3.91,broken clouds
91,Boden,SE,65.8252,21.6886,32.0,93,22,3.33,few clouds
92,Dikson,RU,73.5069,80.5464,8.82,89,100,21.41,overcast clouds
93,Tasiilaq,GL,65.6145,-37.6368,8.92,63,4,2.3,clear sky
94,Portland,US,45.5234,-122.6762,58.28,94,100,3.44,overcast clouds
95,Bengkulu,ID,-3.8004,102.2655,76.24,83,69,4.43,broken clouds
96,Nangka,PH,9.4006,122.8169,78.8,87,77,3.87,broken clouds
97,Port Hardy,CA,50.6996,-127.4199,48.38,87,100,16.11,overcast clouds
98,Along,IN,28.1667,94.7667,65.28,81,48,2.46,scattered clouds
99,Zhigansk,RU,66.7697,123.3711,-6.99,100,94,4.21,overcast clouds
100,Esperance,AU,-33.8667,121.9,58.84,69,97,8.19,overcast clouds
101,Pemangkat,ID,1.1667,108.9667,77.49,77,99,3.02,overcast clouds
102,Tilichiki,RU,60.4667,166.1,19.62,95,99,8.32,overcast clouds
103,Beringovskiy,RU,63.05,179.3167,14.67,97,97,8.93,overcast clouds
104,Laguna,US,38.421,-121.4238,73.49,56,0,11.5,clear sky
105,Broken Hill,AU,-31.95,141.4333,64.11,72,93,19.57,light rain
106,Alice Springs,AU,-23.7,133.8833,69.22,32,15,4.61,few clouds
107,Saldanha,ZA,-33.0117,17.9442,84.25,76,46,7.85,scattered clouds
108,Takoradi,GH,4.8845,-1.7554,83.16,78,97,12.19,overcast clouds
109,Berlevag,NO,70.8578,29.0864,31.95,93,75,20.71,broken clouds
110,Hamilton,US,39.1834,-84.5333,59.23,82,100,8.05,overcast clouds
111,Kuito,AO,-12.3833,16.9333,62.51,91,62,2.42,moderate rain
112,Hermanus,ZA,-34.4187,19.2345,72.81,81,48,17.16,scattered clouds
113,Sao Filipe,CV,14.8961,-24.4956,71.2,72,9,13.15,clear sky
114,Presidente Epitacio,BR,-21.7633,-52.1156,86.0,49,9,11.72,clear sky
115,Ponta Do Sol,PT,32.6667,-17.1,66.06,67,66,12.53,broken clouds
116,Havelock,US,34.8791,-76.9013,69.98,47,75,8.05,broken clouds
117,Chokwe,MZ,-24.5333,32.9833,72.36,72,4,9.04,clear sky
118,Fort Nelson,CA,58.8053,-122.7002,17.19,73,75,8.05,broken clouds
119,Thompson,CA,55.7435,-97.8558,24.96,86,100,5.75,overcast clouds
120,Qaanaaq,GL,77.484,-69.3632,-3.91,96,100,2.93,overcast clouds
121,Beatrice,US,40.2681,-96.747,39.18,93,100,33.38,mist
122,Svetlyy,RU,54.675,20.1347,43.97,51,0,4.16,clear sky
123,New Norfolk,AU,-42.7826,147.0587,54.9,64,67,3.0,broken clouds
